num-weeks-participated	Age	
12	21
1	20
12	20
11	20
10	21
1	na
9	21
10	21
8	21
1	26
1	na
10	20
10	20
1	18
10	22
8	20
10	22
10	21
1	na
10	21
2	21
13	20
11	20
10	22
10	27
1	23
10	21
8	29
10	20
9	21
9	22
9	20
10	22
1	na
10	21
8	20
1	22
9	na
10	20
1	21
3	21
1	19
1	21
9	20
6	23
1	24
7	na
1	na
6	28
7	32
10	19
1	18
9	19
10	18
7	na
10	18
1	na
10	24
7	30
7	22
9	21
11	22
1	19
10	25
1	22
1	22
10	23
11	32
1	21
9	21
10	21
10	30
7	na
14	25
10	21
0	21
9	20
10	22
10	36
12	21
2	na
11	22
12	20
9	18
9	22
9	20
9	27
13	55
13	37
12	51
9	26
12	33
1	20
2	21
8	23
1	na
10	23
10	32
7	20
10	41
10	24
1	23
10	21
9	21
1	20
11	20
8	19
10	22
10	22
11	22
8	23
10	22
9	22
7	na
1	21
8	23
9	21
1	21
1	na
8	21
9	20
1	na
